Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Davy Klaassen,"MF,FW",24,1993,7,3,251,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,11,4,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
Ragnar Klavan,DF,31,1985,19,16,1451,16.1,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.0,15,73,5,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06
Anthony Knockaert,"MF,FW",25,1991,33,27,2421,26.9,3,1,4,3,0,0,4,1,4.1,4.1,3.2,7.3,92,124,153,0.11,0.04,0.15,0.11,0.15,0.15,0.12,0.27,0.15,0.27
Sead Kolašinac,DF,24,1993,27,25,2147,23.9,2,4,6,2,0,0,3,0,2.2,2.2,3.5,5.8,68,105,186,0.08,0.17,0.25,0.08,0.25,0.09,0.15,0.24,0.09,0.24
Vincent Kompany,DF,31,1986,17,17,1394,15.5,1,1,2,1,0,0,6,0,0.8,0.8,0.5,1.3,31,85,3,0.06,0.06,0.13,0.06,0.13,0.05,0.03,0.08,0.05,0.08
Terence Kongolo,DF,23,1994,13,11,1049,11.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,7,36,21,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Laurent Koscielny,DF,31,1985,25,25,2225,24.7,2,0,2,2,0,0,4,0,1.9,1.9,0.4,2.3,25,124,10,0.08,0.00,0.08,0.08,0.08,0.08,0.02,0.09,0.08,0.09
Cheikhou Kouyaté,MF,27,1989,33,32,2799,31.1,2,3,5,2,0,0,5,0,2.7,2.7,1.1,3.8,27,66,64,0.06,0.10,0.16,0.06,0.16,0.09,0.04,0.12,0.09,0.12
Bojan Krkić,MF,26,1990,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
Grzegorz Krychowiak,MF,27,1990,27,20,1641,18.2,0,2,2,0,0,0,2,0,0.8,0.8,1.8,2.6,22,101,25,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.14,0.04,0.14
Rajiv van La Parra,"FW,MF",26,1991,33,26,2137,23.7,3,0,3,2,1,1,3,1,3.1,2.3,0.9,3.2,114,65,136,0.13,0.00,0.13,0.08,0.08,0.13,0.04,0.17,0.10,0.13
