Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Nicolò Zaniolo,"FW,MF",25,1999,14,0,356,4.0,2,2,4,2,0,0,4,0,0.9,0.9,0.5,1.5,7,13,33,0.51,0.51,1.01,0.51,1.01,0.24,0.14,0.37,0.24,0.37
Alessandro Zanoli,"FW,DF",23,2000,31,19,1711,19.0,1,0,1,1,0,0,3,0,0.4,0.4,1.6,2.0,65,27,90,0.05,0.00,0.05,0.05,0.05,0.02,0.08,0.11,0.02,0.11
Duván Zapata,FW,33,1991,7,7,587,6.5,3,0,3,3,0,0,1,0,3.4,3.4,0.5,3.9,6,7,36,0.46,0.00,0.46,0.46,0.46,0.52,0.08,0.59,0.52,0.59
Gabriele Zappa,DF,24,1999,37,35,3060,34.0,2,0,2,2,0,0,4,0,0.9,0.9,3.6,4.5,57,146,82,0.06,0.00,0.06,0.06,0.06,0.03,0.11,0.13,0.03,0.13
Davide Zappacosta,DF,32,1992,30,26,2067,23.0,4,2,6,4,0,0,3,0,2.2,2.2,2.1,4.3,67,107,139,0.17,0.09,0.26,0.17,0.26,0.10,0.09,0.19,0.10,0.19
Oier Zarraga,MF,25,1999,22,9,896,10.0,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.8,7,28,23,0.10,0.00,0.10,0.10,0.10,0.04,0.04,0.08,0.04,0.08
Jordan Zemura,DF,24,1999,23,13,1415,15.7,1,2,3,1,0,0,2,0,1.0,1.0,1.0,2.0,25,42,76,0.06,0.13,0.19,0.06,0.19,0.07,0.06,0.13,0.07,0.13
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alessio Zerbin,DF,25,1999,18,17,1518,16.9,1,1,2,1,0,0,4,0,1.9,1.9,2.1,3.9,53,54,70,0.06,0.06,0.12,0.06,0.12,0.11,0.12,0.23,0.11,0.23
Alessio Zerbin,"FW,DF",25,1999,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Zeroli,MF,19,2005,8,4,395,4.4,0,1,1,0,0,0,0,0,0.8,0.8,0.5,1.2,2,5,8,0.00,0.23,0.23,0.00,0.23,0.17,0.11,0.28,0.17,0.28
Kevin Zeroli,MF,19,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Piotr Zieliński,MF,30,1994,26,8,980,10.9,2,2,4,0,2,2,0,0,2.6,1.1,0.9,2.0,26,65,24,0.18,0.18,0.37,0.00,0.18,0.24,0.08,0.32,0.10,0.18
Nadir Zortea,"DF,MF",25,1999,35,33,2713,30.1,6,2,8,6,0,0,2,0,3.1,3.1,2.4,5.5,69,63,144,0.20,0.07,0.27,0.20,0.27,0.10,0.08,0.18,0.10,0.18
Szymon Żurkowski,MF,26,1997,5,0,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Milan Đurić,FW,34,1990,18,13,1270,14.1,4,1,5,4,0,0,3,0,2.9,2.9,1.1,4.0,2,21,30,0.28,0.07,0.35,0.28,0.35,0.21,0.08,0.28,0.21,0.28
Milan Đurić,FW,34,1990,9,3,268,3.0,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0,7,6,0.34,0.00,0.34,0.34,0.34,0.08,0.00,0.08,0.08,0.08
