Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Joel Bagan,DF,24,2000,31,17,1612,17.9,0,1,1,0,0,0,4,1,0.2,0.2,0.5,0.7,13,44,20,0.00,0.06,0.06,0.00,0.06,0.01,0.03,0.04,0.01,0.04
Michael Baidoo,"MF,FW",25,1999,11,4,452,5.0,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,10,14,25,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14
Lewis Baker,MF,29,1995,19,16,1475,16.4,6,2,8,4,2,2,3,0,3.8,2.2,1.9,4.1,19,57,50,0.37,0.12,0.49,0.24,0.37,0.23,0.12,0.35,0.13,0.25
Lewis Baker,"MF,FW",29,1995,13,7,596,6.6,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.3,7,15,8,0.15,0.00,0.15,0.15,0.15,0.14,0.06,0.20,0.14,0.20
Daniel Ballard,DF,24,1999,20,12,1127,12.5,2,1,3,2,0,0,3,0,1.4,1.4,0.3,1.7,8,51,5,0.16,0.08,0.24,0.16,0.24,0.11,0.03,0.13,0.11,0.13
Patrick Bamford,FW,30,1993,17,0,252,2.8,0,0,0,0,0,0,0,0,2.2,2.2,0.2,2.3,3,7,18,0.00,0.00,0.00,0.00,0.00,0.79,0.06,0.84,0.79,0.84
Raees Bangura-Williams,"FW,MF",,,10,7,608,6.8,0,3,3,0,0,0,2,0,1.1,1.1,0.5,1.5,8,17,26,0.00,0.44,0.44,0.00,0.44,0.16,0.07,0.23,0.16,0.23
Barry Bannan,MF,34,1989,41,40,3461,38.5,4,5,9,4,0,0,7,0,2.6,2.6,6.5,9.0,40,324,62,0.10,0.13,0.23,0.10,0.23,0.07,0.17,0.24,0.07,0.24
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Tammer Bany,"MF,FW",20,2003,4,0,53,0.6,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,0,6,6,0.00,1.70,1.70,0.00,1.70,0.24,1.46,1.69,0.24,1.69
Jamal Baptiste,DF,20,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Shandon Baptiste,MF,26,1998,16,7,717,8.0,1,0,1,1,0,0,2,0,0.9,0.9,1.5,2.4,9,34,16,0.13,0.00,0.13,0.13,0.13,0.11,0.19,0.31,0.11,0.31
