Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ismael,MF,25,1999,29,25,2021,22.5,1,1,2,1,0,0,6,0,1.9,1.9,0.7,2.6,14,95,35,0.04,0.04,0.09,0.04,0.09,0.08,0.03,0.12,0.08,0.12
Franco Israel,GK,24,2000,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ivan Jaime Pajuelo,FW,23,2000,9,5,443,4.9,2,2,4,2,0,0,1,0,1.2,1.2,0.6,1.9,8,25,37,0.41,0.41,0.81,0.41,0.81,0.25,0.13,0.38,0.25,0.38
Jason,"FW,MF",30,1994,32,25,2253,25.0,5,1,6,4,1,3,5,0,6.4,4.1,3.4,7.4,27,80,176,0.20,0.04,0.24,0.16,0.20,0.26,0.13,0.39,0.16,0.30
Jhonatan,GK,33,1991,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diederrick Joel,FW,30,1993,14,8,860,9.6,2,0,2,2,0,1,1,0,2.3,1.5,1.1,2.6,5,16,26,0.21,0.00,0.21,0.21,0.21,0.24,0.11,0.35,0.16,0.27
Joel Jorquera,FW,23,2000,12,4,434,4.8,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,15,15,23,0.21,0.00,0.21,0.21,0.21,0.09,0.03,0.12,0.09,0.12
Luiz Lúcio Reis Júnior,GK,23,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuel Justo,MF,20,2004,5,2,206,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,13,12,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.14,0.10,0.14
Issa Kaboré,DF,23,2001,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
