Player,Squad,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,league
Erling Haaland,Manchester City,FW,24,2000,31,31,2736,30.4,22,3,25,19,3,4,2,0,22.0,18.8,3.0,21.8,24,20,124,0.72,0.10,0.82,0.62,0.72,0.72,0.10,0.82,0.62,0.72,Premier-League
Mohamed Salah,Liverpool,FW,32,1992,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,Premier-League
Casemiro,Manchester Utd,MF,32,1992,24,18,1494,16.6,1,0,1,1,0,0,5,0,1.9,1.9,2.3,4.2,4,84,28,0.06,0.00,0.06,0.06,0.06,0.11,0.14,0.25,0.11,0.25,Premier-League
Virgil van Dijk,Liverpool,DF,33,1991,37,37,3330,37.0,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3.0,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,Premier-League
Raheem Sterling,Chelsea,"FW,MF",29,1994,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0.00,0.36,0.36,0.00,0.36,0.26,0.09,0.34,0.26,0.34,Premier-League
Bruno Fernandes,Manchester Utd,MF,29,1994,36,35,3018,33.5,8,10,18,5,3,3,5,2,9.9,7.6,8.5,16.1,77,325,129,0.24,0.30,0.54,0.15,0.45,0.30,0.25,0.55,0.23,0.48,Premier-League
Marcus Rashford,Manchester Utd,"FW,MF",26,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Premier-League
Marcus Rashford,Manchester Utd,FW,26,1997,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.20,0.61,0.62,0.46,1.08,0.46,0.92,Premier-League
Bernardo Silva,Manchester City,"MF,FW",29,1994,33,29,2670,29.7,4,4,8,4,0,0,7,0,3.9,3.9,5.1,9.0,101,134,200,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.30,0.13,0.30,Premier-League
Jack Grealish,Manchester City,"FW,MF",28,1995,20,7,721,8.0,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3.0,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,Premier-League
Omar Marmoush,Manchester City,"FW,MF",25,1999,16,14,1175,13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0.00,0.54,0.54,0.54,0.42,0.21,0.64,0.42,0.64,Premier-League
Kai Havertz,Arsenal,"FW,MF",25,1999,23,21,1875,20.8,9,3,12,9,0,0,5,0,9.5,9.5,2.4,12.0,35,61,113,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,Premier-League
Gabriel Jesus,Arsenal,FW,27,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54,Premier-League
Jadon Sancho,Manchester Utd,FW,24,2000,31,19,1764,19.6,3,4,7,3,0,0,2,0,2.2,2.2,3.7,5.8,102,90,225,0.15,0.20,0.36,0.15,0.36,0.11,0.19,0.30,0.11,0.30,Premier-League
Mason Mount,Manchester Utd,MF,25,1999,17,8,622,6.9,1,0,1,1,0,0,3,0,3.2,3.2,0.6,3.8,15,33,41,0.14,0.00,0.14,0.14,0.14,0.47,0.08,0.55,0.47,0.55,Premier-League
John Stones,Manchester City,"DF,MF",30,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Premier-League
Reece James,Chelsea,"DF,MF",24,1999,19,12,1063,11.8,1,1,2,1,0,0,1,0,0.4,0.4,0.7,1.1,7,64,12,0.08,0.08,0.17,0.08,0.17,0.04,0.06,0.10,0.04,0.10,Premier-League
Declan Rice,Arsenal,MF,25,1999,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,Premier-League
Martin Ødegaard,Arsenal,MF,25,1998,30,26,2325,25.8,3,8,11,2,1,1,4,0,4.8,4.0,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.40,0.16,0.37,Premier-League
İlkay Gündoğan,Manchester City,MF,33,1990,33,25,2223,24.7,1,6,7,1,0,0,1,0,3.2,3.2,3.5,6.7,64,127,96,0.04,0.24,0.28,0.04,0.28,0.13,0.14,0.27,0.13,0.27,Premier-League
Phil Foden,Manchester City,"MF,FW",24,2000,28,20,1777,19.7,7,2,9,7,0,0,2,0,5.2,5.2,4.8,9.9,50,103,128,0.35,0.10,0.46,0.35,0.46,0.26,0.24,0.50,0.26,0.50,Premier-League
Rodri,Manchester City,MF,28,1996,3,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Premier-League
Joško Gvardiol,Manchester City,DF,22,2002,37,36,3277,36.4,5,0,5,5,0,0,2,0,4.6,4.3,2.1,6.3,91,264,121,0.14,0.00,0.14,0.14,0.14,0.13,0.06,0.18,0.12,0.17,Premier-League
Wesley Fofana,Chelsea,DF,23,2000,14,14,1172,13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.06,Premier-League
Bukayo Saka,Arsenal,"FW,MF",22,2001,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.40,0.75,0.31,0.71,Premier-League
Matthijs de Ligt,Manchester Utd,DF,24,1999,29,25,2123,23.6,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.08,0.00,0.08,0.08,0.08,0.10,0.01,0.12,0.10,0.12,Premier-League
Christopher Nkunku,Chelsea,FW,26,1997,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.20,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Premier-League
William Saliba,Arsenal,DF,23,2001,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,Premier-League
Harry Maguire,Manchester Utd,DF,31,1993,27,19,1758,19.5,1,0,1,1,0,0,7,0,1.8,1.8,0.6,2.4,7,51,7,0.05,0.00,0.05,0.05,0.05,0.09,0.03,0.12,0.09,0.12,Premier-League
Son Heung-min,Tottenham,FW,32,1992,30,24,2110,23.4,7,9,16,6,1,2,1,0,7.2,5.7,8.2,13.9,96,111,265,0.30,0.38,0.68,0.26,0.64,0.31,0.35,0.66,0.24,0.59,Premier-League
Gabriel Martinelli,Arsenal,"FW,MF",23,2001,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,Premier-League
Matheus Cunha,Manchester Utd,"MF,FW",25,1999,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.30,0.27,0.57,0.30,0.57,Premier-League
Manuel Akanji,Manchester City,DF,29,1995,26,23,2014,22.4,0,0,0,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Premier-League
Rúben Dias,Manchester City,DF,27,1997,27,25,2271,25.2,0,0,0,0,0,0,4,0,1.5,1.5,0.3,1.8,43,160,8,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Premier-League
Enzo Fernández,Chelsea,MF,23,2001,36,32,2947,32.7,6,7,13,6,0,0,8,0,6.1,6.1,6.8,12.9,60,212,126,0.18,0.21,0.40,0.18,0.40,0.19,0.21,0.39,0.19,0.39,Premier-League
Kyle Walker,Manchester City,DF,34,1990,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Premier-League
Marc Cucurella,Chelsea,DF,26,1998,36,33,2988,33.2,5,1,6,5,0,0,10,1,2.8,2.8,2.1,4.9,35,118,117,0.15,0.03,0.18,0.15,0.18,0.08,0.06,0.15,0.08,0.15,Premier-League
James Maddison,Tottenham,MF,27,1996,31,21,1809,20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.45,0.35,0.80,0.45,0.80,0.29,0.21,0.50,0.29,0.50,Premier-League
Cristian Romero,Tottenham,DF,26,1998,18,18,1416,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.00,0.06,0.06,0.06,0.10,0.04,0.14,0.10,0.14,Premier-League
Andrew Robertson,Liverpool,DF,30,1994,33,29,2482,27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0.00,0.04,0.04,0.00,0.04,0.04,0.17,0.21,0.04,0.21,Premier-League
Bruno Guimarães,Newcastle Utd,MF,26,1997,38,38,3271,36.3,5,6,11,5,0,0,7,0,4.3,4.3,6.1,10.4,64,271,96,0.14,0.17,0.30,0.14,0.30,0.12,0.17,0.29,0.12,0.29,Premier-League
Nathan Aké,Manchester City,DF,29,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Premier-League
Pedro Neto,Chelsea,FW,24,2000,35,24,2269,25.2,4,6,10,4,0,0,8,0,3.5,3.5,6.7,10.2,126,60,253,0.16,0.24,0.40,0.16,0.40,0.14,0.27,0.40,0.14,0.40,Premier-League
Ben White,Arsenal,DF,26,1997,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0.00,0.15,0.15,0.00,0.15,0.03,0.10,0.14,0.03,0.14,Premier-League
Gabriel Magalhães,Arsenal,DF,26,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.10,0.03,0.13,0.10,0.13,Premier-League
Oleksandr Zinchenko,Arsenal,"DF,MF",27,1996,15,5,527,5.9,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.8,10,48,14,0.00,0.17,0.17,0.00,0.17,0.11,0.03,0.14,0.11,0.14,Premier-League
Bryan Mbeumo,Manchester Utd,FW,24,1999,38,38,3414,37.9,20,7,27,15,5,6,3,0,12.3,7.5,8.3,15.9,130,141,351,0.53,0.18,0.71,0.40,0.58,0.32,0.22,0.54,0.20,0.42,Premier-League
Luke Shaw,Manchester Utd,DF,29,1995,7,4,349,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,7,24,7,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.19,0.01,0.19,Premier-League
Jarrod Bowen,West Ham,"FW,MF",27,1996,34,34,2973,33.0,13,8,21,12,1,1,1,0,8.6,7.8,6.8,14.7,109,91,212,0.39,0.24,0.64,0.36,0.61,0.26,0.21,0.47,0.24,0.44,Premier-League
Lucas Paquetá,West Ham,"MF,FW",26,1997,33,27,2380,26.4,4,0,4,2,2,2,10,0,5.3,3.7,3.1,6.8,26,155,85,0.15,0.00,0.15,0.08,0.08,0.20,0.12,0.32,0.14,0.26,Premier-League
Alexis Mac Allister,Liverpool,MF,25,1998,35,30,2599,28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.10,0.16,0.26,0.10,0.26,Premier-League
Alisson,Liverpool,GK,31,1992,28,28,2508,27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Premier-League
Federico Chiesa,Liverpool,FW,26,1997,6,1,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,3,7,0.00,0.00,0.00,0.00,0.00,0.28,0.15,0.43,0.28,0.43,Premier-League
Ryan Gravenberch,Liverpool,MF,22,2002,37,37,3160,35.1,0,4,4,0,0,0,6,1,1.1,1.1,3.1,4.2,70,181,55,0.00,0.11,0.11,0.00,0.11,0.03,0.09,0.12,0.03,0.12,Premier-League
Boubacar Kamara,Aston Villa,MF,24,1999,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,19,85,7,0.05,0.00,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09,Premier-League
Emiliano Martínez,Aston Villa,GK,31,1992,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Premier-League
Youri Tielemans,Aston Villa,MF,27,1997,36,35,3026,33.6,3,7,10,3,0,1,4,0,3.3,2.5,7.0,9.5,39,235,48,0.09,0.21,0.30,0.09,0.30,0.10,0.21,0.31,0.07,0.28,Premier-League
Anthony Gordon,Newcastle Utd,"FW,MF",23,2001,34,28,2434,27.0,6,5,11,5,1,2,2,0,8.0,6.5,5.0,11.4,121,98,214,0.22,0.18,0.41,0.18,0.37,0.30,0.18,0.48,0.24,0.42,Premier-League
Joelinton,Newcastle Utd,"MF,FW",27,1996,29,29,2393,26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,Premier-League
Kalvin Phillips,Manchester City,MF,28,1995,19,14,1237,13.7,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.7,4,51,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Premier-League
Mateo Kovačić,Manchester City,MF,30,1994,31,25,2198,24.4,6,2,8,6,0,0,5,1,1.9,1.9,3.6,5.5,56,164,16,0.25,0.08,0.33,0.25,0.33,0.08,0.15,0.23,0.08,0.23,Premier-League
Moisés Caicedo,Chelsea,"MF,DF",22,2001,38,38,3351,37.2,1,2,3,1,0,0,11,0,0.8,0.8,3.0,3.8,43,215,37,0.03,0.05,0.08,0.03,0.08,0.02,0.08,0.10,0.02,0.10,Premier-League
Darwin Núñez,Liverpool,FW,25,1999,30,8,1133,12.6,5,2,7,5,0,0,8,0,5.8,5.8,1.3,7.1,23,27,78,0.40,0.16,0.56,0.40,0.56,0.46,0.10,0.57,0.46,0.57,Premier-League
Amadou Onana,Aston Villa,MF,22,2001,26,20,1617,18.0,3,0,3,3,0,0,4,0,2.1,2.1,0.7,2.8,29,75,16,0.17,0.00,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16,Premier-League
Donyell Malen,Aston Villa,FW,25,1999,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,0.2,2.4,12,6,30,0.89,0.00,0.89,0.89,0.89,0.64,0.05,0.69,0.64,0.69,Premier-League
Noussair Mazraoui,Manchester Utd,DF,26,1997,37,34,2838,31.5,0,1,1,0,0,0,3,0,0.7,0.7,1.5,2.2,42,115,58,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07,Premier-League
Mikel Merino,Arsenal,"MF,FW",28,1996,28,17,1586,17.6,7,2,9,7,0,0,4,1,5.9,5.9,2.0,7.9,11,69,94,0.40,0.11,0.51,0.40,0.51,0.34,0.11,0.45,0.34,0.45,Premier-League
Ollie Watkins,Aston Villa,FW,28,1995,38,31,2598,28.9,16,8,24,14,2,2,2,0,15.3,13.8,3.3,17.1,55,31,165,0.55,0.28,0.83,0.48,0.76,0.53,0.12,0.65,0.48,0.59,Premier-League
Matheus Nunes,Manchester City,"DF,MF",25,1998,26,19,1674,18.6,1,6,7,1,0,0,4,0,1.2,1.2,4.4,5.6,63,79,175,0.05,0.32,0.38,0.05,0.38,0.07,0.23,0.30,0.07,0.30,Premier-League
Cole Palmer,Chelsea,"MF,FW",22,2002,37,36,3191,35.5,15,8,23,11,4,5,7,0,17.3,13.3,10.9,24.2,120,214,187,0.42,0.23,0.65,0.31,0.54,0.49,0.31,0.79,0.38,0.68,Premier-League
João Félix,Chelsea,"FW,MF",24,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Premier-League
Bernd Leno,Fulham,GK,32,1992,38,38,3420,38.0,0,1,1,0,0,0,5,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Premier-League
Jordan Pickford,Everton,GK,30,1994,38,38,3420,38.0,0,1,1,0,0,0,7,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Premier-League
Riccardo Calafiori,Arsenal,DF,22,2002,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,22,54,29,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,Premier-League
Amad Diallo,Manchester Utd,"MF,FW",22,2002,26,20,1901,21.1,8,6,14,8,0,0,5,0,4.7,4.7,4.9,9.6,109,60,200,0.38,0.28,0.66,0.38,0.66,0.22,0.23,0.45,0.22,0.45,Premier-League
André Onana,Manchester Utd,GK,28,1996,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier-League
Lisandro Martínez,Manchester Utd,DF,26,1998,20,20,1751,19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Premier-League
Alphonse Areola,West Ham,GK,31,1993,26,25,2260,25.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier-League
Cody Gakpo,Liverpool,FW,25,1999,35,23,1935,21.5,10,4,14,10,0,0,5,0,7.1,7.1,4.4,11.5,59,52,278,0.47,0.19,0.65,0.47,0.65,0.33,0.20,0.53,0.33,0.53,Premier-League
Dominik Szoboszlai,Liverpool,MF,23,2000,36,29,2491,27.7,6,6,12,6,0,0,6,0,7.3,7.3,7.4,14.7,72,131,127,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,Premier-League
John McGinn,Aston Villa,"MF,FW",29,1994,34,27,2223,24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,0.04,0.16,0.20,0.04,0.20,0.13,0.14,0.27,0.11,0.26,Premier-League
Leon Bailey,Aston Villa,"FW,MF",26,1997,24,14,1139,12.7,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,58,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Premier-League
Lucas Digne,Aston Villa,DF,31,1993,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.8,0.8,4.7,5.5,23,57,142,0.00,0.15,0.15,0.00,0.15,0.03,0.18,0.21,0.03,0.21,Premier-League
Alexander Isak,Newcastle Utd,FW,24,1999,34,34,2756,30.6,23,6,29,19,4,4,1,0,20.3,17.2,4.3,21.6,83,88,217,0.75,0.20,0.95,0.62,0.82,0.66,0.14,0.81,0.56,0.70,Premier-League
Kieran Trippier,Newcastle Utd,DF,33,1990,25,14,1309,14.5,0,3,3,0,0,0,1,0,0.1,0.1,1.4,1.5,26,117,58,0.00,0.21,0.21,0.00,0.21,0.01,0.10,0.10,0.01,0.10,Premier-League
Sandro Tonali,Newcastle Utd,MF,24,2000,36,28,2630,29.2,4,2,6,4,0,0,5,0,4.4,4.4,2.2,6.6,37,128,53,0.14,0.07,0.21,0.14,0.21,0.15,0.07,0.22,0.15,0.22,Premier-League
Tosin Adarabioyo,Chelsea,DF,26,1997,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,Premier-League
Idrissa Gana Gueye,Everton,MF,34,1989,37,35,3063,34.0,0,3,3,0,0,0,9,0,1.1,1.1,1.7,2.8,27,145,27,0.00,0.09,0.09,0.00,0.09,0.03,0.05,0.08,0.03,0.08,Premier-League
Jarrad Branthwaite,Everton,DF,22,2002,30,28,2511,27.9,0,1,1,0,0,0,4,0,1.2,1.2,0.7,1.9,10,66,2,0.00,0.04,0.04,0.00,0.04,0.04,0.02,0.07,0.04,0.07,Premier-League
Leny Yoro,Manchester Utd,DF,18,2005,21,12,1165,12.9,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,19,52,4,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Premier-League
James Ward-Prowse,West Ham,MF,29,1994,15,12,1039,11.5,1,1,2,1,0,0,2,0,1.6,1.6,1.9,3.6,11,54,9,0.09,0.09,0.17,0.09,0.17,0.14,0.17,0.31,0.14,0.31,Premier-League
James Ward-Prowse,West Ham,MF,29,1994,9,5,400,4.4,0,1,1,0,0,0,2,1,0.1,0.1,1.1,1.2,1,16,3,0.00,0.23,0.23,0.00,0.23,0.01,0.25,0.26,0.01,0.26,Premier-League
Dejan Kulusevski,Tottenham,"MF,FW",24,2000,32,27,2389,26.5,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,124,210,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39,Premier-League
Antony,Manchester Utd,"DF,MF",24,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Premier-League
Joshua Zirkzee,Manchester Utd,"FW,MF",23,2001,32,14,1402,15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,0.26,0.31,0.10,0.41,0.31,0.41,Premier-League
Daichi Kamada,Crystal Palace,MF,27,1996,34,15,1564,17.4,0,0,0,0,0,0,4,1,1.1,1.1,1.9,3.0,25,89,56,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Premier-League
Nikola Milenković,Nott'ham Forest,DF,26,1997,37,37,3330,37.0,5,2,7,5,0,0,4,0,4.0,4.0,1.1,5.1,3,51,6,0.14,0.05,0.19,0.14,0.19,0.11,0.03,0.14,0.11,0.14,Premier-League
David Raya,Arsenal,GK,28,1995,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier-League
Reiss Nelson,Arsenal,FW,24,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier-League
Reiss Nelson,Arsenal,FW,24,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39,Premier-League
Takehiro Tomiyasu,Arsenal,DF,25,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,2.37,0.00,2.37,2.37,2.37,Premier-League
Dean Henderson,Crystal Palace,GK,27,1997,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier-League
Eberechi Eze,Crystal Palace,"MF,FW",26,1998,34,31,2588,28.8,8,8,16,7,1,2,1,0,10.5,8.9,6.2,15.1,69,97,153,0.28,0.28,0.56,0.24,0.52,0.36,0.22,0.58,0.31,0.53,Premier-League
Edson Álvarez,West Ham,MF,26,1997,28,20,1772,19.7,0,1,1,0,0,0,9,1,0.4,0.4,0.8,1.2,24,85,18,0.00,0.05,0.05,0.00,0.05,0.02,0.04,0.06,0.02,0.06,Premier-League
Max Kilman,West Ham,DF,27,1997,38,38,3348,37.2,0,1,1,0,0,0,5,0,1.6,1.6,1.2,2.8,31,113,6,0.00,0.03,0.03,0.00,0.03,0.04,0.03,0.08,0.04,0.08,Premier-League
Ian Maatsen,Aston Villa,DF,22,2002,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.9,0.9,2.7,3.6,31,50,104,0.08,0.16,0.24,0.08,0.24,0.07,0.22,0.28,0.07,0.28,Premier-League
Pau Torres,Aston Villa,DF,27,1997,24,23,2020,22.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,40,97,8,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Premier-League
Tyrone Mings,Aston Villa,DF,31,1993,14,12,1120,12.4,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,7,40,1,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08,Premier-League
Matt Targett,Newcastle Utd,DF,28,1995,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier-League
Ederson,Manchester City,GK,30,1993,26,26,2320,25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.00,0.16,0.16,0.00,0.16,0.00,0.06,0.06,0.00,0.06,Premier-League
Ben Chilwell,Chelsea,DF,27,1996,8,1,259,2.9,1,0,1,1,0,0,1,0,0.2,0.2,0.8,1.0,5,8,15,0.35,0.00,0.35,0.35,0.35,0.08,0.26,0.34,0.08,0.34,Premier-League
Levi Colwill,Chelsea,DF,21,2003,35,35,3149,35.0,2,1,3,2,0,0,9,0,1.9,1.9,1.1,3.0,14,131,12,0.06,0.03,0.09,0.06,0.09,0.05,0.03,0.09,0.05,0.09,Premier-League
Liam Delap,Chelsea,FW,21,2003,37,32,2593,28.8,12,2,14,10,2,2,12,0,9.3,7.8,1.9,9.7,61,30,110,0.42,0.07,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34,Premier-League
Mykhailo Mudryk,Chelsea,FW,23,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Premier-League
Nicolas Jackson,Chelsea,FW,23,2001,30,28,2220,24.7,10,5,15,10,0,0,7,1,12.3,12.3,4.3,16.6,47,38,129,0.41,0.20,0.61,0.41,0.61,0.50,0.17,0.67,0.50,0.67,Premier-League
James Tarkowski,Everton,DF,31,1992,33,33,2922,32.5,1,1,2,1,0,0,6,0,1.3,1.3,2.9,4.2,9,75,3,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,Premier-League
